id_oglasa,naslov,tip_nepremicnine,stevilo_sob_opis,stevilo_sob,cena,valuta,m2,leto_gradnje,nadstropje,opis_kratek,url_oglasa
7409870,STARA TREŠNJEVKA,Stanovanje,1-sobno,1.0,600.0,EUR,29.0,,,"29 m2, 1-sobno, oddamo. Cena: 600,00 EUR/mes",https://www.nepremicnine.net/oglasi-oddaja/stara-tresnjevka-stanovanje_7409870/
7399447,STARA TREŠNJEVKA,Stanovanje,1-sobno,1.0,600.0,EUR,30.0,1940,,"30 m2, 1-sobno, zgrajeno l. 1940, oddamo. Cena: 600,00 EUR/mes",https://www.nepremicnine.net/oglasi-oddaja/stara-tresnjevka-stanovanje_7399447/
7365638,STARA TREŠNJEVKA,Stanovanje,1-sobno,1.0,850.0,EUR,50.0,,,"50 m2, 1-sobno, oddamo. Cena: 850,00 EUR/mes",https://www.nepremicnine.net/oglasi-oddaja/stara-tresnjevka-stanovanje_7365638/
7303712,STARA TREŠNJEVKA,Stanovanje,1-sobno,1.0,800.0,EUR,55.0,,,"55 m2, 1-sobno, oddamo. Cena: 800,00 EUR/mes",https://www.nepremicnine.net/oglasi-oddaja/stara-tresnjevka-stanovanje_7303712/
7401457,STARA TREŠNJEVKA,Stanovanje,2-sobno,2.0,800.0,EUR,58.0,,,"58 m2, 2-sobno, oddamo. Cena: 800,00 EUR/mes",https://www.nepremicnine.net/oglasi-oddaja/stara-tresnjevka-stanovanje_7401457/
7093601,STARA TREŠNJEVKA,Stanovanje,2-sobno,2.0,1800.0,EUR,88.0,2024,,"88 m2, 2-sobno, novogradnja - zgr. l. 2024, oddamo. Cena: 1.800,00 EUR/mes",https://www.nepremicnine.net/oglasi-oddaja/stara-tresnjevka-stanovanje_7093601/
7254231,"STARA TREŠNJEVKA, - SJEVER",Stanovanje,1-sobno,1.0,200.0,EUR,45.0,,,"45 m2, 1-sobno, oddamo. Cena: 200,00 EUR/mes",https://www.nepremicnine.net/oglasi-oddaja/stara-tresnjevka-sjever-stanovanje_7254231/
7251961,"STARA TREŠNJEVKA, - SJEVER",Stanovanje,Drugo,,250.0,EUR,50.0,,,"50 m2, stanovanje, oddamo. Cena: 250,00 EUR/mes",https://www.nepremicnine.net/oglasi-oddaja/stara-tresnjevka-sjever-stanovanje_7251961/
7253464,"STARA TREŠNJEVKA, - SJEVER",Stanovanje,2-sobno,2.0,200.0,EUR,60.0,,,"60 m2, 2-sobno, oddamo. Cena: 200,00 EUR/mes",https://www.nepremicnine.net/oglasi-oddaja/stara-tresnjevka-sjever-stanovanje_7253464/
7252266,"STARA TREŠNJEVKA, - SJEVER",Stanovanje,2-sobno,2.0,200.0,EUR,65.0,,,"65 m2, 2-sobno, oddamo. Cena: 200,00 EUR/mes",https://www.nepremicnine.net/oglasi-oddaja/stara-tresnjevka-sjever-stanovanje_7252266/
7359063,"STARA TREŠNJEVKA, - SJEVER",Stanovanje,2-sobno,2.0,180.0,EUR,70.0,,,"70 m2, 2-sobno, oddamo. Cena: 180,00 EUR/mes",https://www.nepremicnine.net/oglasi-oddaja/stara-tresnjevka-sjever-stanovanje_7359063/
7251843,"STARA TREŠNJEVKA, - SJEVER",Stanovanje,3-sobno,3.0,250.0,EUR,75.0,,,"75 m2, 3-sobno, oddamo. Cena: 250,00 EUR/mes",https://www.nepremicnine.net/oglasi-oddaja/stara-tresnjevka-sjever-stanovanje_7251843/
7254328,"STARA TREŠNJEVKA, - SJEVER",Stanovanje,4-sobno,4.0,200.0,EUR,200.0,,,"200 m2, 4-sobno, oddamo. Cena: 200,00 EUR/mes",https://www.nepremicnine.net/oglasi-oddaja/stara-tresnjevka-sjever-stanovanje_7254328/
7283620,"STARA TREŠNJEVKA, LABINSKA",Stanovanje,1-sobno,1.0,700.0,EUR,47.0,,,"47 m2, 1-sobno, oddamo. Cena: 700,00 EUR/mes",https://www.nepremicnine.net/oglasi-oddaja/stara-tresnjevka-labinska-stanovanje_7283620/
7070224,"STARA TREŠNJEVKA, OZALJSKA",Stanovanje,3-sobno,3.0,2500.0,EUR,125.0,,,"125 m2, 3-sobno, oddamo. Cena: 2.500,00 EUR/mes",https://www.nepremicnine.net/oglasi-oddaja/stara-tresnjevka-ozaljska-stanovanje_7070224/
7398262,"STARA TREŠNJEVKA, SAVSKA",Stanovanje,2-sobno,2.0,1000.0,EUR,70.0,,,"70 m2, 2-sobno, oddamo. Cena: 1.000,00 EUR/mes",https://www.nepremicnine.net/oglasi-oddaja/stara-tresnjevka-savska-stanovanje_7398262/
7328049,"STARA TREŠNJEVKA, VITEZEVICEVA",Stanovanje,1-sobno,1.0,950.0,EUR,57.0,,,"57 m2, 1-sobno, oddamo. Cena: 950,00 EUR/mes",https://www.nepremicnine.net/oglasi-oddaja/stara-tresnjevka-vitezeviceva-stanovanje_7328049/
7254279,"STARO BRESTJE, DUGAVA, SESVETE",Stanovanje,5 in večsobno,,110.0,EUR,200.0,,,"200 m2, 5 in večsobno, oddamo. Cena: 110,00 EUR/mes",https://www.nepremicnine.net/oglasi-oddaja/staro-brestje-dugava-sesvete-stanovanje_7254279/
7252068,"STARO BRESTJE, GAIŠĆE, SESVETE",Stanovanje,3-sobno,3.0,200.0,EUR,118.0,,,"118 m2, 3-sobno, oddamo. Cena: 200,00 EUR/mes",https://www.nepremicnine.net/oglasi-oddaja/staro-brestje-gaisce-sesvete-stanovanje_7252068/
7252493,"STARO BRESTJE, KRALJEVEČKI NOVAKI, SESVETE",Stanovanje,5 in večsobno,,170.0,EUR,180.0,,,"180 m2, 5 in večsobno, oddamo. Cena: 170,00 EUR/mes",https://www.nepremicnine.net/oglasi-oddaja/staro-brestje-kraljevecki-novaki-sesvete-stanovanje_7252493/
7243325,"STARO BRESTJE, SESVETE",Stanovanje,2-sobno,2.0,200.0,EUR,55.0,,,"55 m2, 2-sobno, oddamo. Cena: 200,00 EUR/mes",https://www.nepremicnine.net/oglasi-oddaja/staro-brestje-sesvete-stanovanje_7243325/
7252212,"STARO BRESTJE, SESVETE",Stanovanje,2-sobno,2.0,200.0,EUR,55.0,,,"55 m2, 2-sobno, oddamo. Cena: 200,00 EUR/mes",https://www.nepremicnine.net/oglasi-oddaja/staro-brestje-sesvete-stanovanje_7252212/
7251795,"STARO BRESTJE, SESVETE",Stanovanje,2-sobno,2.0,900.0,EUR,60.0,,,"60 m2, 2-sobno, oddamo. Cena: 900,00 EUR/mes",https://www.nepremicnine.net/oglasi-oddaja/staro-brestje-sesvete-stanovanje_7251795/
7252449,"STARO BRESTJE, SESVETE",Stanovanje,2-sobno,2.0,200.0,EUR,60.0,,,"60 m2, 2-sobno, oddamo. Cena: 200,00 EUR/mes",https://www.nepremicnine.net/oglasi-oddaja/staro-brestje-sesvete-stanovanje_7252449/
7252355,"STARO BRESTJE, SESVETE",Stanovanje,2-sobno,2.0,200.0,EUR,60.0,,,"60 m2, 2-sobno, oddamo. Cena: 200,00 EUR/mes",https://www.nepremicnine.net/oglasi-oddaja/staro-brestje-sesvete-stanovanje_7252355/
7243269,"STARO BRESTJE, SESVETE",Stanovanje,5 in večsobno,,200.0,EUR,100.0,,,"100 m2, 5 in večsobno, oddamo. Cena: 200,00 EUR/mes",https://www.nepremicnine.net/oglasi-oddaja/staro-brestje-sesvete-stanovanje_7243269/
7311526,"STARO BRESTJE, SESVETE",Stanovanje,3-sobno,3.0,1500.0,EUR,100.0,,,"100 m2, 3-sobno, oddamo. Cena: 1.500,00 EUR/mes",https://www.nepremicnine.net/oglasi-oddaja/staro-brestje-sesvete-stanovanje_7311526/
7252064,"STARO BRESTJE, SESVETE",Stanovanje,5 in večsobno,,160.0,EUR,150.0,,,"150 m2, 5 in večsobno, oddamo. Cena: 160,00 EUR/mes",https://www.nepremicnine.net/oglasi-oddaja/staro-brestje-sesvete-stanovanje_7252064/
7243179,"STARO BRESTJE, SESVETSKI KRALJEVEC, SESVETE",Stanovanje,2-sobno,2.0,200.0,EUR,75.0,,,"75 m2, 2-sobno, oddamo. Cena: 200,00 EUR/mes",https://www.nepremicnine.net/oglasi-oddaja/staro-brestje-sesvetski-kraljevec-sesvete-stanovanje_7243179/
7252386,"STARO BRESTJE, SESVETSKI KRALJEVEC, SESVETE",Stanovanje,2-sobno,2.0,200.0,EUR,90.0,,,"90 m2, 2-sobno, oddamo. Cena: 200,00 EUR/mes",https://www.nepremicnine.net/oglasi-oddaja/staro-brestje-sesvetski-kraljevec-sesvete-stanovanje_7252386/
